"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2021","839.72","837.78","845.76","837.76","2.48B","0.38%"
"11/11/2021","836.58","840.93","840.93","831.38","2.54B","-0.70%"
"11/10/2021","842.47","840.92","842.78","837.19","2.24B","0.25%"
"11/09/2021","840.38","832.66","844.28","832.66","2.42B","1.15%"
"11/08/2021","830.81","827.97","830.81","824.59","2.28B","0.36%"
"11/05/2021","827.84","814.70","827.84","814.70","2.91B","1.74%"
"11/04/2021","813.65","816.81","820.62","812.42","2.29B","-0.27%"
"11/03/2021","815.85","815.04","819.50","813.59","2.40B","0.21%"
"11/02/2021","814.15","815.74","823.68","811.69","3.15B","-0.06%"
"11/01/2021","814.61","810.93","817.00","810.93","2.67B","0.64%"
"10/29/2021","809.45","814.47","815.75","807.42","2.77B","-0.54%"
"10/28/2021","813.84","815.06","816.67","810.64","3.29B","-0.09%"
"10/27/2021","814.58","811.35","815.02","808.85","2.22B","0.47%"
"10/26/2021","810.78","804.09","812.62","804.09","2.19B","0.92%"
"10/25/2021","803.40","805.66","805.66","797.31","1.80B","-0.31%"
"10/22/2021","805.88","801.22","807.27","798.65","1.99B","0.64%"
"10/21/2021","800.72","803.18","809.86","799.93","2.23B","-0.24%"
"10/20/2021","802.65","805.74","807.77","800.95","1.83B","-0.09%"
"10/19/2021","803.36","795.18","803.54","793.22","1.71B","1.85%"
"10/18/2021","788.78","799.34","801.56","788.78","1.41B","-0.96%"
"10/15/2021","796.41","773.21","796.41","773.21","1.64B","3.32%"
"10/14/2021","770.85","771.23","779.38","769.21","1.27B","0.19%"
"10/13/2021","769.41","776.69","778.57","768.47","1.60B","-1.00%"
"10/12/2021","777.18","781.96","781.96","770.19","1.61B","-0.84%"
"10/08/2021","783.74","789.37","791.43","781.92","1.51B","-0.47%"
"10/07/2021","787.47","774.17","789.18","774.17","1.45B","2.23%"
"10/06/2021","770.27","775.92","778.90","765.92","1.55B","-0.51%"
"10/05/2021","774.22","770.84","774.22","757.43","1.78B","0.22%"
"10/04/2021","772.52","780.32","783.44","770.76","1.61B","-0.80%"
"10/01/2021","778.75","789.69","789.69","775.36","1.87B","-1.68%"
"09/30/2021","792.05","791.31","796.49","783.93","1.76B","0.27%"
"09/29/2021","789.93","808.13","808.13","787.24","1.97B","-2.49%"
"09/28/2021","810.12","818.40","818.40","807.84","1.58B","-1.10%"
"09/27/2021","819.12","816.61","819.12","812.16","1.90B","0.40%"
"09/24/2021","815.84","808.08","815.84","808.08","1.70B","1.29%"
"09/23/2021","805.44","802.81","810.01","802.81","1.69B","0.73%"
"09/22/2021","799.63","812.19","812.19","794.19","1.78B","-1.96%"
"09/17/2021","815.60","813.23","823.28","811.32","1.75B","0.28%"
"09/16/2021","813.31","816.23","821.38","811.79","1.30B","-0.60%"
"09/15/2021","818.23","825.07","826.02","818.23","1.46B","-0.85%"
"09/14/2021","825.24","825.74","829.14","823.98","1.26B","-0.02%"
